File,Sensor,tDays,Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High) 
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8588773148,002A,0191,02EF,0141,FE0F,8A4C,000A,0733,12E6,14D2,224E,2687,0FE5,021C,0077,0011,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8630439815,002B,0191,02EE,0141,FE0B,8A3E,000C,1687,22AD,25DA,0D29,01EC,0061,000C,0001,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8672106481,002C,018E,02EC,013F,FE0F,8A3E,000B,13C5,15B3,2251,25E7,0DFD,0207,0068,0016,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8713773148,002D,018F,02F0,013C,FE0F,8A3E,0009,0785,149F,1593,2331,25EA,0CE3,0200,006C,001D,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8755439815,002E,018C,02EE,013E,FE0E,8A3A,000B,144C,1617,2321,254A,0CFC,01F6,006E,0007,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8797106481,002F,018F,02F1,013E,FE0F,8A3E,000B,1442,1579,2436,25D9,0C14,01C5,0063,0014,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8838773148,0030,018E,02EE,013F,FE0C,8A42,000A,07E8,134A,160A,22D8,261D,0D76,021D,0063,0018,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8880439815,0031,018E,02EF,013E,FE0B,8A38,000B,1415,1561,229F,2680,0D36,0233,0070,000F,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8922106481,0032,018F,02EF,013F,FE0F,8A42,000C,149E,23F2,2659,0D2E,01DE,0076,0017,0002,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,12.8963773148,0033,018E,02EE,013C,FE0F,8A3B,000B,1426,14E2,239E,2646,0CEA,01E6,006D,0019,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9005439815,0034,018E,02EC,013C,FE0E,8A32,000C,1569,22BB,2676,0DAC,0202,006E,000E,0001,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9047106481,0035,018E,02EE,013F,FE10,8A36,000B,136E,1518,2300,26A5,0DB3,01F8,0072,001D,0006,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9088773148,0036,018E,02EF,013F,FE0F,8A3D,000B,1365,14B2,2332,26E4,0DB4,0219,007B,0006,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9130439815,0037,018F,02EF,013E,FE0E,8A39,000B,1363,14B8,231D,26A4,0DD7,0221,007D,0015,0001,0004
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9172106481,0038,018D,02EC,0140,FE10,8A31,000C,1508,2427,268E,0D35,0234,006D,0013,0000,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9213773148,0039,018D,02EC,013F,FE0F,8A38,0009,0761,1379,1592,23BD,264E,0D36,0207,0072,0012,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9255439815,003A,018C,02EE,0141,FE0E,8A35,000B,12DE,14E0,23F1,2745,0D4C,01FF,0071,001A,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9297106481,003B,0189,02EB,013E,FE10,8A35,000A,074E,1323,156B,2488,264E,0CBE,0228,0086,0013,0004
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9338773148,003C,018D,02F0,013E,FE0F,8A37,000A,0717,129A,14BE,23EF,277D,0DD7,020C,0064,0012,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9380439815,003D,018C,02EE,013F,FE0E,8A37,000A,075B,12BE,14F3,24D9,266D,0D2F,0228,006D,001F,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9422106481,003E,018D,02EC,013E,FE0F,8A36,000A,0734,12CA,14CD,246B,271A,0D61,020D,0063,0014,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9463773148,003F,018B,02F0,013F,FE0C,8A33,000C,14D4,2480,26B0,0DFE,0211,0071,0011,0003,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9505439815,0040,018B,02EE,013C,FE13,8A30,000B,1264,1527,2485,2714,0D49,020E,0067,000F,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9547106481,0041,018A,02F0,013C,FE0F,8A2B,000A,06EF,1322,1529,2483,26EA,0D09,01F5,0076,000E,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9588773148,0042,018B,02EF,013C,FE0F,8A2C,000B,1276,14EF,24EF,2741,0CEA,01F6,0060,0012,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9630439815,0043,018B,02EF,013F,FE07,8A2D,0009,0737,1262,1490,24C3,26D8,0DC7,0215,0078,0015,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9672106481,0044,018A,02E9,013C,FE0E,8A21,000C,14F1,2482,26EE,0D5F,021F,0077,000A,0000,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9713773148,0045,018B,02EB,0141,FE0C,8A24,000C,1505,250F,26FE,0D39,021A,0074,000F,0001,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9755439815,0046,018B,02EC,013C,FE0C,8A29,0009,06DB,1220,14C0,2560,271A,0D5A,021E,0066,0016,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9797106481,0047,018B,02EC,013F,FE0E,8A21,000A,0731,1276,1460,2453,2752,0DAD,023C,007B,000E,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9838773148,0048,018B,02EF,013F,FE0F,8A28,000C,1472,255E,2704,0DE5,0238,005C,0012,0003,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9880439815,0049,018B,02EE,013F,FE16,8A23,000C,1475,2504,278F,0DB5,0236,0071,000E,0002,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9922106481,004A,018B,02F0,013F,FE0C,8A1F,000A,06C3,11D0,1453,2516,27B4,0DBD,023D,0062,0010,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,12.9963773148,004B,018A,02EE,013F,FE0E,8A24,000A,067D,121D,147F,262D,26F0,0D34,0226,007D,0015,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0005439815,004C,0189,02EF,0140,FE08,8A2A,000B,11C8,13AC,253F,2787,0E41,0243,006C,0011,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0047106481,004D,018A,02EF,013C,FE0C,8A18,000B,119A,1354,25A0,27F7,0E05,0247,0070,0011,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0088773148,004E,0189,02EE,013B,FE11,8A23,000A,06A5,112E,13BD,25FE,273F,0E46,0277,0088,000F,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0130439815,004F,0189,02EF,013F,FE0F,8A15,000B,1107,13F5,257E,27D8,0E2B,0266,0063,0011,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0172106481,0050,0187,02F0,013C,FE0F,8A24,000A,06BB,1154,1385,261D,27E5,0DB0,0244,0086,0013,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0213773148,0051,0189,02F0,013C,FE0A,8A21,000C,130F,25EF,27D2,0EB0,0261,006B,000C,0002,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0255439815,0052,0189,02EE,013C,FE0E,8A1E,000B,1156,1305,2537,2845,0E6C,0288,0070,000C,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0297106481,0053,0187,02E9,013E,FE0C,8A1B,000A,0662,10F1,12A8,25F1,2812,0F31,0263,0075,0010,0004
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0338773148,0054,0188,02EF,013F,FE0C,8A10,0009,06A1,1100,12CD,25B0,2820,0EB7,0296,0078,000D,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0380439815,0055,0188,02EE,013F,FE0B,8A19,000A,068D,10E8,11F6,26D8,27F4,0EAD,0297,008A,0012,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0422106481,0056,0187,02EC,013F,FE0F,8A1B,0009,069D,10D6,121B,2708,27EC,0E83,0286,007D,0013,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0463773148,0057,0187,02EE,0141,FE11,8A1F,000C,12B2,261A,27E8,0ECC,029D,007A,000D,0003,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0505439815,0058,0188,02EC,013E,FE10,8A1F,000B,101A,1298,269A,27D8,0F92,02B8,0067,0018,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0547106481,0059,0186,02EF,013C,FE17,8A1B,0009,0666,104A,11EC,26A5,28EA,0E9C,02CE,007C,000A,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0588773148,005A,0184,02EC,013E,FE0C,8A12,000B,103E,11D6,2664,2859,0F77,02E4,0073,001D,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0630439815,005B,0185,02EE,013F,FE09,8A12,000B,101C,122F,2661,2885,0F7E,0298,0061,0011,0002,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0672106481,005C,0186,02EE,0138,FE0F,8A1A,000C,1252,265E,2827,0FA6,02B2,007C,0013,0002,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0713773148,005D,0185,02EC,0143,FE0C,8A0A,000A,05F7,0FDC,1183,269C,28F0,0FDD,02CC,0067,0013,0005
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0755439815,005E,0186,02EC,013F,FE0B,8A12,000C,112D,2695,2902,0FF5,02B3,0078,000F,0003,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0797106481,005F,0184,02EC,013E,FE0C,8A0C,0009,05F0,103B,110B,26D6,2877,0FFF,0303,0078,000F,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0838773148,0060,0184,02EF,013C,FE10,8A08,000B,100B,10E7,2641,2960,1005,02D2,007A,001A,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0880439815,0061,0184,02EF,013F,FE0B,89FE,000A,05AD,0F31,112E,272F,285D,10CA,0309,0080,0011,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0922106481,0062,0184,02E9,013F,FE0E,8A02,000B,0FDB,1131,2668,2885,109E,0328,0070,0015,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.0963773148,0063,0184,02E9,0140,FE0E,8A01,000A,0612,0FCF,1100,26F6,289F,1008,02F5,0070,001C,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1005439815,0064,0184,02EB,013F,FE0C,89FC,000A,0602,0F78,10F2,2686,2882,10EC,0314,0075,0012,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1047106481,0065,0184,02EF,013F,FE09,8A03,000A,057E,0F3F,10E1,26D6,2954,108A,0321,0075,001A,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1088773148,0066,0184,02E9,013C,FE0E,89F5,000C,1150,26BB,293B,104E,02AC,007C,0012,0002,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1130439815,0067,0184,02F0,013E,FE10,89FD,000A,05DA,0F93,11A8,267B,2911,0FE3,02F1,0074,0013,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1172106481,0068,0184,02EC,013C,FE0C,89FF,000B,0F88,1077,260C,29B6,109B,0315,0077,0016,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1213773148,0069,0184,02EF,013F,FE0C,89FD,000D,2709,2901,10B0,02FC,0082,000A,0005,0000,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1255439815,006A,0184,02EE,013F,FE0E,89F1,000A,05D2,0F26,1108,2715,291C,102E,02FD,0082,0011,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1297106481,006B,0184,02EC,013C,FE0E,89FE,000C,10DD,2637,28CD,1100,02F2,0083,001C,0003,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1338773148,006C,0184,02F0,013E,FE0A,89FA,000B,0F6D,1106,25F0,29F0,10BC,02E1,005A,0009,0005,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1380439815,006D,0184,02E8,013F,FE0F,89F9,000C,10EE,267A,28DD,1130,02F2,0065,0010,0001,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1422106481,006E,0184,02EC,0141,FE0F,89FB,000A,05CE,0F88,10E1,26AA,28A4,10DB,0320,006B,000F,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1463773148,006F,0182,02EC,013E,FE0C,89FE,000A,058F,0EFA,10BB,2685,292E,116B,0325,0066,000F,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1505439815,0070,0183,02EC,013F,FE0F,89FC,000B,0F04,1062,264D,29BD,117F,030B,007F,0012,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1547106481,0071,0183,02F0,013C,FE0F,89F7,000B,0EEC,1002,25FF,29CA,11F6,032E,0080,001A,0002,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1588773148,0072,0180,02EC,013C,FE0C,89FD,000B,0EE7,10AE,2665,2981,111F,0314,0082,0015,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1630439815,0073,0182,02EB,013F,FE08,89F7,000A,0592,0F05,1008,2637,2970,11DD,035B,0063,0014,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1672106481,0074,0181,02E9,013E,FE10,89F6,000B,0E80,1001,262D,29A6,1239,0376,008B,000F,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1713773148,0075,0180,02EF,013F,FE0E,89F6,000B,0E85,0FAF,26BA,290F,12AD,035A,0081,000E,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1755439815,0076,0180,02EC,013E,FE0F,89F7,000B,0EB3,104D,26BE,28FB,11F0,0365,008A,0013,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1797106481,0077,0180,02EC,013F,FE09,89F7,000B,0EAF,10D0,2639,294C,11B1,0376,0082,0017,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1838773148,0078,0180,02EF,013E,FE0C,89ED,0009,0522,0E9E,0F96,26A2,2969,12A3,036E,0073,0008,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1880439815,0079,0180,02EF,013F,FE0C,89F4,000A,0595,0E7D,1020,259E,2912,12E0,03AA,0073,0014,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1922106481,007A,0182,02EF,013C,FE0F,89EE,000A,054D,0E97,0FCF,25D2,295D,12F5,038E,007E,000A,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.1963773148,007B,0180,02EC,0141,FE0C,89F1,000A,057A,0EAC,0FC0,2684,28AB,12F2,0365,0072,000E,0005
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2005439815,007C,0180,02E9,013C,FE10,89E7,000A,0546,0EB9,0F92,255F,29A8,132F,0382,008D,0010,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2047106481,007D,017D,02EC,013C,FE0F,89F0,000A,0524,0DFF,0FD7,2597,298D,136F,03C9,0086,0011,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2088773148,007E,017D,02F3,013C,FE0C,89EB,000C,0F78,2565,297E,1399,03A0,006D,0012,0002,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2130439815,007F,017D,02E8,013F,FE0E,89EB,000B,0E6A,0FD1,253A,29F6,132C,039D,007D,0019,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2172106481,0080,017D,02E9,013F,FE0E,89E8,000A,050D,0E5F,0F49,25FF,298E,1356,03BF,007B,0012,0004
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2213773148,0081,017F,02EB,013C,FE0C,89E7,000B,0DF1,0FB8,251F,2A11,13CF,039E,0086,000D,0005,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2255439815,0082,017D,02EB,013E,FE0F,89EC,000B,0E17,0F19,2578,29C5,13F0,03C7,0073,0013,0004,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2297106481,0083,017F,02E9,013F,FE09,89E6,000B,0E2C,0F80,2512,29E1,13CC,03C5,006B,000B,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2338773148,0084,017D,02EC,013F,FE0F,89E5,000C,0F48,2507,2978,1410,03D1,008A,0015,0002,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2380439815,0085,017B,02F0,013E,FE10,89EA,000B,0E22,0F48,2534,2A41,13BF,03AB,008C,0010,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2422106481,0086,017C,02E9,013C,FE10,89E6,000A,04ED,0E21,0F5D,259C,2941,141F,03E6,0088,000E,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2463773148,0087,017D,02EB,0140,FE0B,89E7,000C,0F59,255E,296B,140E,03B6,007D,0017,0004,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2505439815,0088,017D,02EB,013F,FE0F,89E7,000C,0FA2,24B3,29FF,13D2,03F5,0093,0013,0001,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2547106481,0089,017C,02EE,013F,FE0C,89EA,000A,04B2,0DE7,0EE3,2557,2A26,1427,042F,007E,0019,0004
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2588773148,008A,017C,02EC,013F,FE10,89E1,000B,0E47,0F33,249B,2A1F,144E,03FF,007C,0010,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2630439815,008B,017D,02EB,0140,FE09,89DC,000C,0ED1,2398,2A0C,155C,0442,0091,0015,0003,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2672106481,008C,017D,02EF,013F,FE0B,89E0,000C,0E75,242A,2A11,15F4,043C,0082,000F,0005,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2713773148,008D,017C,02EE,013F,FE07,89DC,000D,2440,2A7D,14C8,0445,0088,000B,0003,0000,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2755439815,008E,017C,02EC,013F,FE0C,89D1,000B,0DFC,0F17,2382,2A95,1506,0463,0070,0012,0003,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2797106481,008F,017C,02EE,013E,FE0E,89D5,000A,04C1,0D51,0E78,2435,2A7A,15E9,0410,0095,000C,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2838773148,0090,017B,02F0,013E,FE10,89DB,000C,0ED9,23E8,2A43,15F1,0469,007A,0013,0001,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2880439815,0091,017C,02EC,013F,FE0C,89D9,000B,0E0A,0EB4,2437,298E,159F,041B,0098,001A,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2922106481,0092,017C,02EF,0140,FE07,89DB,000A,04C9,0D5E,0E76,2468,2A79,1584,0434,008D,0017,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.2963773148,0093,017C,02EE,013F,FE0C,89DE,000C,0EA8,242D,2AB6,1542,042C,008A,0012,0002,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3005439815,0094,017C,02EC,013E,FE11,89D6,000A,04C8,0DA2,0E71,2480,2A0E,1597,043B,0081,0017,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3047106481,0095,017B,02EB,013C,FE0E,89D4,000B,0D37,0EAB,243A,2A0A,15DC,045C,0082,0016,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3088773148,0096,017C,02EB,013C,FE0C,89D5,000B,0D8A,0E9C,248D,29E4,156B,043E,0089,0015,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3130439815,0097,017C,02EC,013E,FE0A,89DB,000D,2411,2A73,1544,0435,0084,000E,0002,0000,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3172106481,0098,017D,02EF,013C,FE0E,89D4,000C,0ECF,23EC,2A2F,15E6,042C,007F,0011,0001,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3213773148,0099,017C,02EC,013F,FE0F,89E2,000A,050D,0D9A,0E80,23D9,2A72,155D,046A,0091,0015,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3255439815,009A,017C,02EB,0140,FE0C,89DF,000C,0E9F,2486,29BF,15AA,0445,0093,0012,0002,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3297106481,009B,017C,02EF,0140,FE0E,89DD,000B,0D5D,0E0D,23E4,2A56,1683,0424,008B,0010,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3338773148,009C,017C,02EF,0139,FE0B,89D7,000A,0479,0DAF,0E5D,23FE,2ADA,156E,0472,0085,0014,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3380439815,009D,017C,02EF,013C,FE0E,89D4,000B,0D7A,0E15,23DA,2A7E,160D,0489,00A2,0015,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3422106481,009E,017C,02EC,013C,FE0E,89E5,000C,0EA2,23F3,2AB1,1599,0436,0079,000E,0002,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3463773148,009F,017B,02EC,013E,FE0F,89D8,000A,0462,0D91,0EE4,2446,2A68,15B0,0417,0078,0013,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3505439815,00A0,0176,02E9,013E,FE0F,89D2,000A,04DE,0DAD,0E74,2473,29B3,1616,0404,0080,0011,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3547106481,00A1,017C,02EC,013E,FE0F,89DB,000A,0501,0D68,0E3E,245D,2A7C,157F,043B,0092,000E,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3588773148,00A2,017C,02EF,013F,FE07,89D4,000B,0D63,0E6C,24BC,2A9E,150F,0431,0098,0010,0001,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3630439815,00A3,017C,02F1,0141,FE0F,89D6,000A,04D8,0DAB,0F4D,24A1,2A22,14F1,03BD,0082,000F,0004
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3672106481,00A4,017C,02EC,0140,FE09,89D1,000A,04CA,0DA0,0EF9,244E,2A44,1509,0419,009C,001B,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3713773148,00A5,017C,02EE,013E,FE0C,89D5,000A,04B5,0D89,0EF6,250E,2A20,1507,03D5,0082,0012,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3755439815,00A6,017C,02EC,013F,FE0F,89D8,000B,0E78,0EAF,2516,2A5C,142D,0390,0077,0019,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3797106481,00A7,017C,02E8,013F,FE0E,89DA,000A,049E,0DBC,0FB9,2641,2994,13B7,0393,008C,001A,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3838773148,00A8,017C,02EE,0147,FE09,89D3,000C,0F7A,2501,29A1,1403,03CB,0080,0014,0001,0000,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3880439815,00A9,017D,02EF,013C,FE10,89DE,000B,0E4E,0FC0,25BA,297E,133E,0391,0071,0015,0003,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3922106481,00AA,017D,02EE,013C,FE0F,89DA,000A,052B,0DF5,0FE7,2638,2A3C,1248,0377,0092,000C,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.3963773148,00AB,017D,02EE,013F,FE0C,89D8,000B,0E4C,1026,250A,2A68,1302,0366,007D,0016,0005,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4005439815,00AC,017D,02EF,0139,FE0E,89EA,000C,0F7F,2593,29E8,1394,0376,0089,0018,0004,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4047106481,00AD,017D,02EF,0143,FE0C,89E8,0009,0532,0E54,0FE3,2569,2A3E,12D1,037F,0075,0013,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4088773148,00AE,017F,02EC,013F,FE10,89E8,000B,0E47,1013,25A8,29DF,1310,037E,008F,0011,0004,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4130439815,00AF,017E,02EB,013E,FE0B,89E6,000D,25AC,29DA,12AA,0370,007C,0018,0003,0001,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4172106481,00B0,0177,02EC,013F,FE0E,89E5,000B,0E6A,100F,253E,295F,137C,0386,0089,0014,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4213773148,00B1,017F,02EE,0141,FE0F,89E7,000A,0529,0E9A,0FC3,25B3,2928,134A,03A4,0080,0015,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4255439815,00B2,017F,02EF,013F,FE0C,89E5,000B,0EEC,0F98,2493,295F,13A0,03E6,0076,0010,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4297106481,00B3,0180,02F0,0139,FE07,89E1,000C,0FE3,2530,29CB,1287,034D,0084,0016,0003,0000,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4338773148,00B4,017F,02EC,013F,FE0C,89EB,000B,0EE3,1065,2636,2974,1163,0343,008A,0016,0004,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4380439815,00B5,017E,02EE,013E,FE0E,89EF,000B,0F6B,10A4,26CA,289B,1112,032E,0085,0015,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4422106481,00B6,0180,02EC,013E,FE0F,89EC,000A,05C0,0F43,1103,25A8,28E9,11B4,0304,0086,0014,0003
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4463773148,00B7,0182,02E9,013F,FE0F,89F1,000B,0F9A,1125,25F1,28E9,1133,0318,006D,0020,0002,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4505439815,00B8,0181,02EC,013F,FE0F,89F7,000A,05EE,0F89,11A8,262C,292E,1006,02E7,007B,0015,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4547106481,00B9,0181,02EF,013F,FE0F,89F1,000C,1163,2612,28BC,109B,030F,0080,0015,0002,0001,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4588773148,00BA,0182,02EE,0140,FE0C,89ED,000A,05A1,0FBB,10B1,25F3,296C,1101,02FD,0070,0012,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4630439815,00BB,017E,02EF,013F,FE0C,89F6,000A,0584,0EE6,10D0,23F8,294B,12BA,0411,009D,000F,0002
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4672106481,00BC,0182,02EC,013E,FE0F,89F5,0009,05A1,0F29,104D,24F9,2948,127A,0371,009B,0017,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4713773148,00BD,0183,02EC,013F,FE0C,89F2,0009,0512,0DF9,0FBF,232C,2A27,1577,03D3,007B,0010,0000
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4755439815,00BE,0182,02EE,0140,FE11,89FA,000B,0D3E,0EDE,216B,2B8C,1655,04BB,00C9,001D,0004,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4797106481,00BF,0183,02EF,013C,FE0F,89F7,000B,0F10,1105,256F,299F,1175,0300,0078,0016,0004,0001
2017-07-14_AA0003_r-014-01.txt,AA0003,13.4838773148,00C0,0183,02F0,013C,FE18,89F1,000B,0ED5,102F,24E6,2892,138B,03AF,0098,0018,0002,0002
